Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19613.2480547673,18790.868541122,17660.3232739416,17748.5545234391,18064.4007339676,18398.7507400297,19112.5029984541,20010.2158345921,20752.8095915976,20815.8353874873,21779.2203006868,21234.708034436,21262.3089250843,21591.7915931807,21771.9014007178,22514.483943994,23766.6070131111,24145.753990727,24171.6517995745,22840.8841002763,22243.4579670705,22102.4817004397,21286.3318932135,20854.5676341718,20959.9650372142,20666.9651609374,20930.633669268,21035.7933581451,20727.4216338412,20737.9776890352,17728.0729247569,17682.7314537483,20716.2851304966,21318.6724772626,21837.7254102057
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12351.6357110065,12197.7877887634,11002.6017626136,10143.9840118445,8967.73072971831,8061.19604112609,8314.85656685025,9301.32717519867,10128.1560469563,10519.7489145442,11182.4548339393,11771.0872003861,12443.9322575939,13413.9265504854,15052.1182160947,16579.8731683834,18349.8719060634,20019.6111676728,22137.9472928315,22236.8387691136,24012.6133040213,25404.7566082412,25879.1319400701,26147.6253584645,26564.4347246547,25513.2132958317,24846.8301529359,25503.9809845207,26363.4629778536,26798.8206398076,26731.4953869922,27611.1801135157,26537.5083081674,27782.4380139967,29040.9725790425
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41640.0583572132,42246.076049685,42719.0486134245,42143.196061205,43369.2759444308,44310.6278688274,44808.524358035,46396.0021283993,47205.3098527353,48765.7668571996,50455.7338920672,50835.3969916061,51471.8532550932,51788.8439641973,53406.6918625201,54346.8934219286,55367.6227467907,56983.4612170062,56787.7366257414,55258.7071019666,56240.2030936239,56585.3025000677,56356.8251292135,56263.1752679668,57002.9092185204,57509.0245728702,57901.4976903148,58529.3302957534,59357.6896884394,60479.9769955466,57333.5424137922,60669.2137746531,62561.7810453236,63095.4017281289,63347.7858809235
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8251.61762539471,9028.07343837562,9967.77779283553,10366.8590598807,10146.3996755203,9967.84688088643,9782.64416029651,9862.26634546876,9894.59919785026,10460.6346102795,11363.6868781615,11567.0265720608,11828.1865744067,12589.2679378206,12807.1658774384,12714.9697390831,12912.5300233774,12973.2067214746,12415.6811300464,12033.9096816588,11913.6635959061,11641.7717375703,11843.4153404212,12064.797259406,12272.2957895446,12348.7944978311,12063.0600374093,11572.3007931461,11451.8979413877,11765.9748661176,10045.1404163746,11716.3267818656,12565.3645829576,12371.0086545348,12621.4081961897
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2207.06796428357,2230.46054664537,2226.56666006625,2254.24565428893,2215.36616821938,2300.14122107459,2337.63030771279,2399.78593127356,2419.10014338548,2470.68504400549,2536.16885867097,2591.06485220288,2630.18061029627,2639.04370114641,2672.84404357157,2632.47251454328,2652.21841967159,2729.13741390352,2777.61974031765,2758.07243150648,2733.57399641151,2732.01249647957,2779.7264808532,2893.0467015352,2987.38236326153,2952.00218338705,2962.66381572265,3041.77929984989,3155.4510650627,3281.10470051465,3317.8597222557,3464.2886286745,3588.32519938147,3721.21254814808,3901.32588494392
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79747.4825029841,76365.0430540655,75766.6971046445,77503.4644231796,77470.2976928947,80427.24062121,82122.7826140328,85380.8348326117,88034.8132385883,90290.5624913126,98019.93147275,104560.839783497,102559.769384967,105642.976098631,107803.199358077,109335.385931485,115170.899920201,118691.070025545,115942.72717347,108962.816946419,105968.875104213,101989.927295974,96711.0739703323,96549.7874807583,93042.2733051033,93859.8769494621,93265.0675364638,96437.191438851,95639.2267310584,95519.9206861686,88618.0830682257,92319.6714861219,98145.1689383889,103052.348367859,109311.936941299
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3411.3837599176,3338.00941826599,3624.59781500136,3850.551287421,4042.49417769249,4379.87046667778,4616.91979198439,4778.70511731732,4965.87646031681,5241.36663790737,5287.57434721684,5545.6305511084,5991.25497571775,6323.5411950973,6517.99683290216,6850.80441609334,7140.85609148376,8195.07074477912,8470.03471622855,9019.11861272397,9985.28455483655,10714.686566371,11143.9445354588,11212.479426698,11744.5189124825,12400.2983237391,13320.9759036882,13482.3425280358,13854.8543977158,14555.1884045845,12979.9369485824,13458.812666743,14061.3120274588,14610.2959119536,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6247.10446615403,6440.4857162921,6414.32866802843,6556.81640305094,6731.2848743195,6914.34189540931,7083.61313107091,7301.50935715196,7534.51656215666,7435.72544462966,7492.43381815499,7491.15257767136,7550.01554439063,7625.90515937027,7811.59684101948,8020.63568776794,8263.31896895542,8493.94848397403,8865.27246783163,9011.55629962953,9230.39808115934,9554.44502529396,9884.46163420335,10391.38337536,10790.8472899414,11144.6415727207,11448.0218032246,11755.2556195885,11920.3135079645,11930.9159145918,10285.6590750222,11202.4409836707,11487.7148799194,11616.1575595159,11329.1518061536
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2296.87264160359,2077.634467563,2046.60085862894,2171.22800800272,2528.91099045086,2940.50824197162,4347.40673052649,5728.96966389374,6564.71090839493,7118.49302829335,7450.75630719962,7595.40113504032,7960.94311887733,8287.56139959493,8891.64622025157,9338.51021407231,9924.58202192151,10636.5636686798,11402.5612562151,11253.1086370257,11553.9853015029,11882.0519630912,12014.5748838034,12498.6918885636,12806.156303047,13530.4770000466,14152.333698495,14800.324914292,15556.1437763134,16203.4497674296,15934.8764408695,17399.8373242588,18362.241671965,18844.4650770989,19532.10799535
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10520.9183978405,11001.8013588128,11008.6810214184,10902.9512774946,10989.6700551057,11457.6994362472,11832.9387782379,12526.352236393,12306.250477233,13207.447346512,13185.8171514278,12949.6403104655,13479.6960719923,13857.2588264737,13984.8415112641,14361.9576327759,15275.5828811117,15850.2343496231,16040.3153236098,13489.9509168296,14545.0198074427,15236.7188843522,14957.6189142932,16369.4252971454,17052.1924105361,15994.9643042101,16905.588740873,17352.8958451454,17825.018569213,18106.0105471124,16289.3913582645,17960.6254447437,18647.3734588832,18932.4802712334,18068.5050714283
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12633.2884559605,12546.5605004545,12271.9788476188,12669.4287208252,13202.9308013064,13550.4393737243,13641.6295997537,13896.6249901345,13737.7026434846,13602.4137069426,14005.347187072,14016.1313773564,14265.9048768518,14259.3664088286,14911.260960772,15221.0138281917,15657.4795714009,16440.5837398046,17113.3679822772,16939.4407809047,18062.158110224,18627.8104527933,18832.2195524356,19241.5059814525,19183.1727445223,18357.0690615421,17620.9272434403,17724.4799577815,17917.7492122925,18018.62091495,17327.5157248143,18075.7060048757,18554.0461828519,19079.8122132253,19652.3654991704
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,118163.68336994,118220.68359533,111457.220883519,107899.136339239,106239.232694338,105043.853097683,102522.125418121,106503.420270796,97171.6372551031,99083.3205282422,100323.439918528,99680.7626777537,101571.583784666,103226.914446986,101497.754798655,99795.6850854526,102248.510300567,96752.6204091885,91275.5000919182,87875.8283546044,88586.5133683924,90279.6634042123,89718.4636049982,86606.6518910199,83310.6151819533,81910.1882959493,78880.6228501768,78966.8643142346,78099.0507802561,80228.1598170527,80280.8980640677,78248.797127611,76357.829114996,76616.7014884981,79071.7333801445
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14229.7019083906,13157.6263684007,12332.4768973197,12247.2331430907,12512.3072177589,12932.2782571471,13675.802823114,11817.1350328953,12347.0182679512,11373.9407578444,11954.5867680223,12661.2414690795,13698.8575981443,14530.9346678868,15594.2219971836,16820.7857529671,18101.9997194224,19449.0580200569,20786.5943491749,20220.6970269748,20670.8257101095,21238.6347180791,21521.9722528865,21841.2853304575,22318.0729490157,23371.5497861932,24393.5599946297,25397.4134296456,26348.0991129693,27736.3748496575,27138.1481078548,29457.7113319774,30860.8767083739,31469.8621540327,32561.9139604771
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1107.85590454965,1178.07704639063,1152.04476095096,1162.64923453351,1148.60721370395,1183.52861008084,1280.69608533889,1326.94230829963,1385.09310679095,1444.56690170414,1428.57400617096,1477.28491846525,1494.67801269583,1561.83310184915,1581.25620933294,1664.99543180023,1714.76034904509,1731.93046335077,1779.32710911571,1779.32305627973,1873.97146230828,1939.86659989406,2003.6646118745,2057.0639319853,2083.19844698304,2101.70266192027,2162.72578977814,2232.28781490944,2316.39432079045,2391.53626844484,2380.93171826574,2486.43093147762,2469.19956941259,2486.20669812871,2547.67232852209
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1460.27645878332,1501.8459320135,1476.99435502804,1429.12129549201,1365.48348262885,1184.2840262089,1088.78927818283,1071.55943349349,1101.22051819781,1064.28756095402,1033.47188177042,1028.61849315822,1044.4802745003,999.615791221936,1009.58916929728,981.533210986845,998.069458519996,994.963590921008,1001.61751311947,988.19632868896,991.038897704986,994.691231245018,1002.27452805218,1014.5231007912,1022.29153627273,995.319068450023,1009.63596796379,1023.97040626757,1046.59511246023,1057.95005999167,1030.77026419371,1035.53857384938,1031.25412243175,1036.16712196238,1051.25931339275
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1848.75865235574,1830.07599656211,1984.68062998835,2111.62140814748,2465.9939315017,2763.39733371857,3022.88825211585,3302.9740337536,3657.38118993776,4006.47964718799,4510.13573659758,4540.90731780518,4710.2410491228,4841.265398715,5268.30312485708,5565.76951208069,5941.38218091511,6767.40677380347,7169.13944155367,6994.5740991365,7072.12150207342,7325.78441834692,7397.82220702474,7440.66242650114,7491.02198228243,7560.13649202469,7881.30336227784,8234.56000312459,8531.12961646549,9111.62993173269,7207.86853962048,7685.41921393669,8850.1066918812,9228.4604533114,9848.95276350935
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2646.09798836687,2731.37973720314,2769.4882552665,2714.59150059884,1650.39100001816,1672.73928514136,1643.01579058314,1595.17130656935,1602.38371208931,1775.41239802043,1922.03179092592,2032.08092022373,2126.34150468987,2309.83931482788,2491.30930003838,2781.89028895255,3041.10471220153,3308.15747246544,3501.9257021932,3587.60889588362,3711.53750580157,3921.97911563308,4159.16354123446,4419.3988680186,4702.73061823207,4968.57276699143,5283.72964943779,5632.03125629342,6050.59088262205,6448.88455952805,6128.78243783335,6225.53265474741,6458.3681488084,6695.29194763723,7008.88934551726
